class,age,zone,duration,severity,number,pure,actual,frequency
1,1,1,62.9,18256,17,4936,2049,0.27027027
1,1,2,112.9,13632,7,845,1230,0.062001771
1,1,3,133.1,20877,9,1411,762,0.067618332
1,1,4,376.6,13045,7,242,396,0.018587361
1,1,5,9.4,0,0,0,990,0
1,1,6,70.8,15000,1,212,594,0.014124294
1,1,7,4.4,8018,1,1829,396,0.227272727
1,2,1,352.1,8232,52,1216,1229,0.147685317
1,2,2,840.1,7418,69,609,738,0.082133079
1,2,3,1378.3,7318,75,398,457,0.054414859
1,2,4,5505.3,6922,136,171,238,0.024703468
1,2,5,114.1,11131,2,195,594,0.017528484
1,2,6,810.9,5970,14,103,356,0.017264768
1,2,7,62.3,6500,1,104,238,0.016051364
2,1,1,191.6,7754,43,1740,1024,0.224425887
2,1,2,237.3,6933,34,993,615,0.14327855
2,1,3,162.4,4402,11,298,381,0.06773399
2,1,4,446.5,8214,8,147,198,0.017917133
2,1,5,13.2,0,0,0,495,0
2,1,6,82.8,5830,3,211,297,0.036231884
2,1,7,14.5,0,0,0,198,0
2,2,1,844.8,4728,94,526,614,0.111268939
2,2,2,1296,4252,99,325,369,0.076388889
2,2,3,1214.9,4212,37,128,229,0.030455181
2,2,4,3740.7,3846,56,58,119,0.01497046
2,2,5,109.4,3925,4,144,297,0.036563071
2,2,6,404.7,5280,5,65,178,0.012354831
2,2,7,66.3,7795,1,118,119,0.015082956
